storm ID,Start Date,End Date,Duration (hours),precip,OUT Pure Glycol Application (gallons),OUT Pure Glycol Application (kg),OUT sample start,OUT sample end,OUT Volume (liters),OUT Ethylene Glycol (kg),OUT Propylene Glycol (kg),OUT EG+PG (kg),CG Pure Glycol Application (gallons),CG Pure Glycol Application (kg),CG sample start,CG sample end,CG Volume (liters),CG Ethylene Glycol (kg),CG Propylene Glycol (kg),CG EG+PG (kg),US sample start,US sample end,US Volume (liters),US Ethylene Glycol (kg),US Propylene Glycol (kg),US EG+PG (kg),LK sample start,LK sample end,LK Volume (liters),LK Ethylene Glycol (kg),LK Propylene Glycol (kg),LK EG+PG (kg),LK EG+PG (kg)
S48,2/19/2005,2/21/2005,24:35:00,Snow/Rain,14304,56312,2/19/2005 23:35,2/21/2005 0:10,"4,731,746",85,"24,605","24,690",544,2140,2/20/2005 10:24,2/21/2005 0:29,"114,400",2,26,28,2/19/2005 23:45,2/21/2005 0:30,1177131.45,21.19,21.19,42.38,2/20/2005 13:15,2/21/2005 15:15,49865973,898,21442,22340,24690
S49,3/17/2005,3/18/2005,18:25,Snow/mist,4877,19199,3/17/2005 16:20,3/18/2005 10:45,"2,214,095",40,"1,993","2,033",1490,5866,3/17/2005 19:49,3/18/2005 13:00,"188,024",3,"2,820","2,824",3/17/2005 16:30,3/18/2005 11:35,686400.44,12.36,42.56,54.91,3/18/2005 4:00,3/19/2005 4:05,28656652,516,6018,6534,2033
S50,3/18/2005,3/19/2005,32:20:00,Snowmelt/Rain,216,849,3/18/2005 11:55,3/19/2005 20:15,"25,685,082",462,"11,301","11,764",0,0,3/18/2005 16:29,3/19/2005 20:15,"794,288",14,707,721,3/18/2005 15:20,3/19/2005 21:10,5769558.19,103.85,1038.52,1142.37,3/19/2005 4:20,3/20/2005 13:00,89707781,1615,4934,6549,11764
S51,1/20/2006,1/21/2006,13:15,Snowfall,7072,27841,1/20/2006 16:25,1/21/2006 5:40,"1,034,131",19,558,577,1426,5615,1/21/2006 1:21,1/21/2006 3:52,"13,592",0,10,10,1/20/2006 16:35,1/21/2006 4:55,164804.07,2.97,2.97,5.93,1/21/2006 0:10,1/21/2006 17:30,11809259,213,213,425,577
S52,2/11/2006,2/11/2006,5:55,Snowfall,1824,7180,2/11/2006 17:05,2/11/2006 23:00,"650,438",12,976,987,,,,,,,,,2/11/2006 17:05,2/11/2006 23:35,164520.9,2.96,2.96,5.92,2/11/2006 22:15,2/12/2006 4:50,2497263,45,72,117,987
S53,2/16/2006,2/16/2006,12:17,"S, R, FR, D, I",,,,,,,,,2597,10226,2/16/2006 5:29,2/16/2006 17:46,"322,246",6,644,650,2/15/2006 22:20,2/16/2006 21:45,1458034.61,26.24,27.7,53.95,2/16/2006 6:10,2/17/2006 6:20,38153274,687,6486,7173,
S54,3/5/2006,3/6/2006,21:10,Snowfall,9357,36835,3/5/2006 15:55,3/6/2006 13:05,"3,245,961",58,"21,099","21,157",1838,7236,3/6/2006 1:00,3/6/2006 14:15,"407,196",7,692,700,,,,,,,3/5/2006 23:00,3/6/2006 23:40,35451280,638,6381,7019,21157
S55,3/7/2006,3/9/2006,44:00:00,melt and some rain,418,1646,3/7/2006 13:25,3/9/2006 9:25,"84,394,973","1,519","4,979","6,498",91,357,3/7/2006 13:28,3/9/2006 2:21,"2,066,564",37,"1,757","1,794",3/7/2006 14:00,3/9/2006 9:05,27197484.92,489.55,571.15,1060.7,3/7/2006 13:50,3/9/2006 9:45,350359288,6306,7358,13664,6498
S56,12/1/2006,12/1/2006,18:10,Snowfall,8178,32197,12/1/2006 3:30,12/1/2006 21:40,"4,360,795",100,"1,003","1,103",925,3642,12/1/2006 3:33,12/1/2006 22:11,"18,689",0,0,1,12/1/2006 3:30,12/1/2006 21:45,1347032.55,24.25,24.25,48.49,12/1/2006 7:56,12/2/2006 2:26,23078233,415,785,1200,1103
S57,1/14/2007,1/15/2007,15:15,lt snow,7754,30525,1/14/2007 21:10,1/15/2007 12:25,"1,500,510",27,300,327,630,2478,1/14/2007 21:15,1/15/2007 10:13,"7,362",0,2,3,1/14/2007 21:20,1/15/2007 12:30,588707.31,10.6,10.6,21.19,1/15/2007 5:10,1/15/2007 22:05,9995848,180,1799,1979,327
S58,1/21/2007,1/22/2007,22:15,"snow, FD",9392,36975,1/21/2007 8:20,1/22/2007 6:35,"1,696,179",31,763,794,261,1029,1/21/2007 18:02,1/22/2007 6:19,"18,123",0,1,1,,,,,,,1/21/2007 17:50,1/22/2007 16:50,10165749,183,529,712,794
S59,2/23/2007,2/26/2007,58:30:00,"snow, FR, R",11814,46510,2/23/2007 23:40,2/26/2007 10:10,"11,071,888",199,"7,750","7,950",38,151,2/23/2007 23:48,2/25/2007 20:18,"206,996",4,72,76,2/23/2007 23:45,2/26/2007 8:30,3596239.95,64.73,251.74,316.47,2/24/2007 13:05,2/26/2007 14:55,74331731,1338,5947,7285,7950
S60,3/1/2007,3/2/2007,25:30:00,melt with snow and rain,8186,32227,3/1/2007 7:10,3/2/2007 8:40,"43,438,048",782,"26,063","26,845",790,3109,3/1/2007 7:17,3/1/2007 15:36,"406,913",7,"1,912","1,920",3/1/2007 7:25,3/2/2007 6:10,7957034.85,143.23,1670.98,1814.2,3/1/2007 13:15,3/2/2007 12:45,197963098,3563,25735,29299,26845
S61,4/11/2007,4/12/2007,17:45,"snow, rain",5504,21669,4/11/2007 12:30,4/12/2007 6:15,"16,636,999",299,"3,660","3,960",556,2189,4/11/2007 12:23,4/12/2007 2:37,"707,072",13,"1,343","1,356",4/11/2007 12:40,4/12/2007 4:05,3086536.65,55.56,92.6,148.15,4/11/2007 17:39,4/12/2007 8:19,80448171,1448,6516,7964,3960
S62,9/25/2007,9/26/2007,11:40,Rain,0,0,9/25/2007 16:45,9/26/2007 4:25,"3,511,289",63,63,126,0,0,9/25/2007 15:50,9/25/2007 23:17,"217,757",4,4,8,9/26/2007 5:50,9/26/2007 9:45,125160.48,2.25,2.25,4.51,9/25/2007 23:04,9/26/2007 14:09,24210907,436,436,872,126
S63,12/1/2007,12/3/2007,40:30:00,"snow, FR",2400,9447,12/1/2007 13:05,12/3/2007 5:35,"19,227,141",654,"6,345","6,999",14,55,12/1/2007 20:08,12/3/2007 5:41,"481,386",9,246,254,12/1/2007 13:40,12/3/2007 5:25,5266934.1,94.8,147.47,242.28,12/2/2007 0:19,12/3/2007 11:49,108227001,1948,6710,8658,6999
S64,12/11/2007,12/12/2007,22:10,"FR, S, I, R",10973,43199,12/11/2007 6:20,12/12/2007 4:30,"2,860,002","7,150","18,018","25,168",3950,15549,12/11/2007 10:06,12/12/2007 4:32,"27,184",0,652,652,12/11/2007 6:35,12/12/2007 4:30,518198.36,9.33,16.06,25.39,12/11/2007 17:10,12/12/2007 13:59,14308504,258,11018,11275,25168
S65,1/5/2008,1/9/2008,82:10:00,melt with rain,153,604,1/5/2008 17:45,1/9/2008 3:55,"155,402,873","2,797","11,344","14,142",297,1168,1/5/2008 17:50,1/9/2008 6:05,"2,721,249",49,"2,123","2,172",1/5/2008 18:00,1/9/2008 7:15,42277057.05,760.99,760.99,1521.97,1/5/2008 22:44,1/9/2008 9:44,753029992,13555,21838,35392,14142
S66,2/17/2008,2/17/2008,12:10,"FR, rain",2095,8249,2/17/2008 3:25,2/17/2008 15:35,"35,849,132",645,"21,868","22,513",132,521,2/17/2008 3:26,2/18/2008 5:49,"2,067,130",37,"1,922","1,960",2/17/2008 3:25,2/18/2008 5:15,17329912.2,311.94,1074.45,1386.39,2/17/2008 9:35,2/18/2008 9:39,367920832,6623,13613,20236,22513
S67,3/21/2008,3/22/2008,28:24:00,Snowfall,,,,,,,,,308,1213,3/21/2008 5:58,3/22/2008 10:22,"63,996",1,70,72,,,,,,,,,,,,,
S68,3/25/2008,3/25/2008,15:45,melt with rain and snow,650,2559,3/25/2008 6:45,3/25/2008 22:30,"81,196,225","1,462","3,243","4,704",11,42,3/25/2008 6:51,3/27/2008 6:05,"996,753",18,169,187,3/25/2008 7:00,3/27/2008 6:10,26674472.7,480.14,480.14,960.28,3/25/2008 12:20,3/27/2008 8:34,338513783,6093,6093,12186,4704
S69,6/29/2008,6/29/2008,6:20,Rain,,,,,,,,,0,0,6/29/2008 1:43,6/29/2008 8:03,"368,119",7,7,13,,,,,,,,,,,,,
S70,10/5/2008,10/5/2008,2:58,Rain,,,,,,,,,0,0,10/5/2008 15:03,10/5/2008 18:01,"164,238",3,3,6,,,,,,,,,,,,,
S71,11/30/2008,12/1/2008,20:45,Snowfall,9396,36992,11/30/2008 15:25,12/1/2008 12:10,"8,817,867",159,"6,702","6,860",1089,4287,11/30/2008 15:32,12/1/2008 12:19,"644,208",12,773,785,11/30/2008 15:40,12/1/2008 11:00,2024088.44,36.43,688.19,724.62,11/30/2008 21:45,12/1/2008 16:40,38567550,694,6942,7636,6860
S72,12/8/2008,12/9/2008,26:40:00,"snow, some lt FR and rain",11216,44155,12/8/2008 15:45,12/9/2008 18:25,6132587.001,122.65174,4788.572796,4911.224536,3901,15357,12/8/2008 15:45,12/9/2008 22:14,"157,442",3,394,397,12/8/2008 15:50,12/9/2008 21:55,1117949.24,22.36,22.36,44.72,12/9/2008 4:50,12/10/2008 6:05,28475424,570,4841,5410,4911
S73,1/9/2009,1/9/2009,10:15,Snowfall,8124,31985,1/9/2009 6:10,1/9/2009 16:25,"1,154,195",23,208,231,1254,4938,1/9/2009 5:59,1/9/2009 16:58,"11,327",0,17,17,1/9/2009 6:50,1/9/2009 16:35,308653.67,6.17,6.17,12.35,1/9/2009 17:11,1/10/2009 5:26,6721288,134,605,739,231
S74,2/27/2009,2/27/2009,8:25,"FR, then snow",4609,18145,2/27/2009 6:20,2/27/2009 14:45,"7,050,329",141,"5,711","5,852",328,1292,2/27/2009 6:29,2/27/2009 12:50,"87,782",2,42,44,2/27/2009 6:35,2/27/2009 12:20,1335422.65,26.71,65.44,92.14,2/27/2009 9:50,2/27/2009 19:20,27855285,557,3343,3900,5852
S75,3/28/2009,3/29/2009,22:25,"snow, fFR",8186,32227,3/28/2009 19:00,3/29/2009 17:25,"8,623,330",172,"25,870","26,042",na,na,3/28/2009 19:06,3/29/2009 15:52,"144,416",3,375,378,3/28/2009 19:15,3/29/2009 17:35,1829834.85,36.6,36.6,73.19,3/29/2009 1:15,3/29/2009 20:00,49613953,992,20838,21830,26042
S76,4/21/2009,4/21/2009,5:35,"rain, some snow",na,na,4/21/2009 7:20,4/21/2009 12:55,"5,104,395",102,204,306,na,na,4/21/2009 7:22,4/21/2009 12:37,"95,145",2,2,4,4/21/2009 7:25,4/21/2009 14:15,1399985.06,28,28,56,4/21/2009 10:45,4/21/2009 17:35,27309336,546,546,1092,306
S77,7/15/2009,7/15/2009,7:50,Rain,0,0,7/15/2009 4:40,7/15/2009 12:30,"8,961,717",179,179,358,0,0,7/15/2009 4:19,7/15/2009 6:41,"338,103",7,7,14,7/15/2009 5:20,7/15/2009 12:05,1765838.77,35.32,35.32,70.63,7/15/2009 4:35,7/15/2009 9:05,50899255,1018,1018,2036,358
S78,12/8/2009,12/9/2009,20:23,"snow, rain",na,na,12/8/2009 9:00,12/9/2009 5:23,"21,917,242",438,"21,260","21,698",2123,8358,12/8/2009 9:37,12/9/2009 1:43,"240,693",5,650,655,12/8/2009 9:06,12/9/2009 12:51,13846939.65,276.94,276.94,553.88,12/8/2009 18:30,12/10/2009 4:30,250519172,5010,5511,10522,21698
S79,1/23/2010,1/25/2010,35:25:00,melt with some rain,55,218,1/23/2010 14:40,1/25/2010 2:05,"61,136,079","1,223","7,948","9,170",55,218,1/23/2010 14:29,1/25/2010 7:03,"2,520,200",50,"3,528","3,579",1/23/2010 14:50,1/25/2010 3:40,15121197.9,302.42,302.42,604.85,1/23/2010 21:56,1/25/2010 9:30,270199383,5404,8376,13780,9170
S80,2/9/2010,2/10/2010,31:00:00,Snowfall,12922,50873,2/9/2010 4:05,2/10/2010 11:05,"2,548,517",51,"1,453","1,504",na,na,2/9/2010 2:46,2/10/2010 9:23,"39,644",1,56,56,2/9/2010 3:50,2/10/2010 5:50,1415842.5,28.32,28.32,56.63,2/9/2010 16:01,2/10/2010 12:41,7560599,151,348,499,1504
S81,3/9/2010,3/11/2010,36:10:00,melt with rain,53,208,3/9/2010 16:20,3/11/2010 4:30,"27,835,464",557,"2,784","3,340",4,17,3/9/2010 15:32,3/11/2010 6:18,"651,288",13,267,280,3/9/2010 15:45,3/11/2010 6:15,10533868.2,210.68,210.68,421.35,3/9/2010 19:55,3/11/2010 11:21,207675778,4154,4154,8307,3340
S82,4/8/2010,4/8/2010,7:25,"rain, turning to snow",na,na,4/8/2010 5:20,4/8/2010 12:45,"6,286,341",126,365,490,na,na,4/8/2010 5:24,4/8/2010 12:49,"31,149",1,5,6,4/8/2010 5:20,4/8/2010 11:25,1529109.9,30.58,30.58,61.16,4/8/2010 8:35,4/8/2010 17:06,27807147,556,556,1112,490
S83,9/1/2010,9/1/2010,1:05,,0,0,9/1/2010 3:30,9/1/2010 4:35,"6,711,093",134,134,268,0,0,9/1/2010 3:15,9/1/2010 4:20,"424,753",8,8,17,9/1/2010 3:40,9/1/2010 6:15,2265348,45.31,45.31,90.61,9/1/2010 3:15,9/1/2010 6:40,68158658,1363,1363,2726,268
S84,10/26/2010,10/26/2010,5:30,,0,0,10/26/2010 7:00,10/26/2010 12:30,"26,617,839",532,532,"1,065",0,0,10/26/2010 5:54,10/26/2010 7:01,"79,287",2,2,3,10/26/2010 7:20,10/26/2010 10:20,4474062.3,89.48,89.48,178.96,10/26/2010 6:55,10/26/2010 16:25,109133140,2183,2183,4365,1065
S85,12/20/2010,12/21/2010,19:05,,,,12/20/2010 17:50,12/21/2010 12:55,"991,090",20,119,139,,,,,,,,,12/20/2010 17:25,12/21/2010 13:35,240693.23,4.81,4.81,9.63,12/21/2010 4:15,12/21/2010 15:00,5663370,113,113,227,139
S86,1/31/2011,2/2/2011,51:45:00,,,,1/31/2011 9:35,2/2/2011 13:20,"2,010,496",40,"5,629","5,670",,,,,,,,,1/31/2011 11:10,2/2/2011 10:50,144415.94,2.89,2.89,5.78,2/1/2011 9:00,2/2/2011 21:10,7249114,145,145,290,5670
S87,2/20/2011,2/22/2011,47:25:00,,,,2/20/2011 9:45,2/22/2011 9:10,"12,600,998",252,"37,803","38,055",,,,,,,,,2/20/2011 9:40,2/22/2011 7:40,3992675.85,79.85,191.65,271.5,2/20/2011 14:20,2/22/2011 13:25,76512129,1530,11477,13007,38055
S88,4/19/2011,4/20/2011,14:05,,,,4/19/2011 18:45,4/20/2011 8:50,"50,630,528","1,013","2,126","3,139",,,4/19/2011 18:50,4/19/2011 21:09,"269,010",5,5,11,4/19/2011 18:55,4/20/2011 4:15,18292685.1,365.85,365.85,731.71,4/19/2011 19:05,4/20/2011 8:55,202295576,4046,4046,8092,3139
S89,8/30/2011,8/31/2011,10:35,,,,8/30/2011 23:40,8/31/2011 10:15,"679,604",14,14,27,,,8/30/2011 23:12,8/30/2011 23:21,566,0,0,0,8/31/2011 1:10,8/31/2011 7:10,99108.98,1.98,1.98,3.96,8/30/2011 23:10,8/31/2011 12:30,5946539,119,119,238,27
S90,12/20/2011,12/21/2011,13:55,,,,12/20/2011 17:40,12/21/2011 7:35,"971,268",19,104,123,,,12/30/2011 8:15,12/30/2011 10:30,"42,815",1,9,10,12/20/2011 17:05,12/21/2011 6:35,302990.3,6.06,6.06,12.12,12/20/2011 17:40,12/21/2011 13:30,7135846,143,143,285,123
S91,1/12/2012,1/13/2012,22:20,,,,1/12/2012 11:25,1/13/2012 9:45,"1,732,991",35,399,433,,,,,,,,,1/12/2012 11:45,1/13/2012 11:55,617307.33,12.35,12.35,24.69,1/12/2012 19:30,1/13/2012 13:45,6031489,121,121,241,433
S92,1/17/2012,1/17/2012,9:40,,,,1/17/2012 6:30,1/17/2012 16:10,"1,540,437",31,863,893,,,,,,,,,1/17/2012 7:10,1/17/2012 16:15,461564.66,9.23,9.23,18.46,1/17/2012 14:20,1/18/2012 14:00,11326740,227,1246,1472,893
S93,1/22/2012,1/24/2012,41:30:00,,,,1/22/2012 16:25,1/24/2012 9:55,"31,460,020",629,"12,584","13,213",,,1/23/2012 3:10,1/23/2012 12:53,"247,093",5,153,158,,,,,,,1/23/2012 1:25,1/24/2012 13:05,144812371,2896,2896,5792,13213
S94,3/2/2012,3/4/2012,39:30:00,,,,3/2/2012 15:10,3/4/2012 6:40,"19,793,478",396,"1,445","1,841",,,3/2/2012 14:59,3/3/2012 10:34,"59,692",1,16,17,3/2/2012 15:30,3/3/2012 20:05,3199804.05,64,64,127.99,3/2/2012 18:50,3/4/2012 12:55,94663230,1893,1893,3787,1841
S95,7/18/2012,7/19/2012,6:15,,,,7/18/2012 20:50,7/19/2012 3:05,"12,062,978",241,241,483,,,7/18/2012 20:45,7/19/2012 1:27,"200,370",4,4,8,7/18/2012 21:05,7/19/2012 10:40,4728913.95,94.58,94.58,189.16,7/18/2012 22:10,7/19/2012 12:00,87612334,1752,1752,3504,483
S96,12/20/2012,12/21/2012,18:20,,,,12/20/2012 16:50,12/21/2012 11:10,,,,,,,12/20/2012 16:52,12/21/2012 3:39,,,,,12/20/2012 17:35,12/21/2012 6:50,,,,,12/20/2012 18:30,12/21/2012 12:30
S97,1/12/2013,1/13/2013,12:05,,,,1/12/2013 22:45,1/13/2013 10:50,,,,,,,,,,,,,1/12/2013 23:05,1/13/2013 10:20,,,,,1/13/2013 13:15,1/13/2013 17:30
S98,1/27/2013,1/28/2013,17:10,,,,1/27/2013 12:30,1/28/2013 5:40,,,,,,,1/28/2013 3:57,1/28/2013 10:03,,,,,1/27/2013 12:40,1/28/2013 3:30,,,,,1/28/2013 3:30,1/28/2013 12:05
S99,1/30/2013,1/30/2013,9:55,,,,1/30/2013 11:20,1/30/2013 21:15,,,,,,,1/30/2013 13:17,1/30/2013 13:33,,,,,2/7/2013 7:50,2/8/2013 8:05,,,,,2/7/2013 18:40,2/8/2013 16:50
S100,2/7/2013,2/8/2013,25:10:00,,,,2/7/2013 7:35,2/8/2013 8:45,,,,,,,2/7/2013 12:03,2/7/2013 12:16,,,,,3/9/2013 9:45,3/11/2013 4:15,,,,,3/9/2013 18:40,3/11/2013 13:30
S101,3/9/2013,3/11/2013,44:35:00,,,,3/9/2013 9:40,3/11/2013 6:15,,,,,,,3/10/2013 3:52,3/10/2013 21:07,,,,,4/14/2013 7:00,4/14/2013 12:35,,,,,4/14/2013 14:55,4/14/2013 17:25
S102,4/14/2013,4/14/2013,5:25,,,,4/14/2013 6:45,4/14/2013 12:10,,,,,,,4/14/2013 7:37,4/14/2013 8:35,,,,,,,,,,,,
